"Cluster	Record	Isolate.ID	Id.Match	Frog.ID	proportion growth 1	anti-Bd Class (80%)	Taxnonomy	DirTax_Phylum	DirTax_Class	DirTax_Order	DirTax_Family	DirTax_Genus	DirTax_Species	TotalIso	Inhibitory	NonInhibitory	InhibitoryRatio"
"254	H	Mada.846	Mada.3847	Boophis  pyrrhus	0.213402154	NonInhibitory	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA		6	8	6 . 8"
"254	H	Mada.854	Mada.3847	Aglyptodactylus madagascariensis	0.247752959	NonInhibitory	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA		6	8	6 . 8"
"254	H	Mada.348	Mada.3847	Gephryomantis webbi	0.212228582	NonInhibitory	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA		6	8	6 . 8"
"254	H	Mada.1833	Mada.3847	Aglyptodactylus madagascariensis	0.195567348	Inhibitory	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA		6	8	6 . 8"
"254	H	Mada.2542	Mada.3847	Boophis albilabris	0.23872163	NonInhibitory	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA		6	8	6 . 8"
"254	H	Mada.1579	Mada.3847	Mantidactylus   femoralis	0.148899641	Inhibitory	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA		6	8	6 . 8"
"254	H	Mada.3424	Mada.3847	Aglyptodactylus madagascariensis	0.851740696	NonInhibitory	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA		6	8	6 . 8"
"254	H	Mada.2250	Mada.3847	Guibemantis timidis	0.127451646	Inhibitory	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA		6	8	6 . 8"
"254	H	Mada.3732	Mada.3847	Boophis albilabris	1.039985591	NonInhibitory	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA		6	8	6 . 8"
"287	S	Mada.2529	*	Mantella crocea	0.070032422	Inhibitory	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__rhizosphaerae	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	rhizosphaerae		2	1	2 . 1"
"287	H	Mada.2656	Mada.2529	Guibemantis spp.	0.010282538	Inhibitory	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__rhizosphaerae	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	rhizosphaerae		2	1	2 . 1"
"287	H	Mada.1493	Mada.2529	Mantella aurantiaca	0.217574528	NonInhibitory	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__rhizosphaerae	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	rhizosphaerae		2	1	2 . 1"
"353	S	Mada.3117	*	Guibemantis tornieri	0.202692405	NonInhibitory	NA	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	NA		2	1	2 . 1"
"353	H	Mada.371	Mada.3117	Gephryomantis silvanus	0.090851276	Inhibitory	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	NA		2	1	2 . 1"
"353	H	Mada.1154	Mada.3117	Mantidactylus  aergenteus	0.044720753	Inhibitory	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	NA		2	1	2 . 1"
"518	S	Mada.350	*	Gephryomantis webbi	0.217497956	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		9	4	9 . 4"
"518	H	Mada.1536	Mada.350	Guibemantis timidis	0.175467914	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		9	4	9 . 4"
"518	H	Mada.1589	Mada.350	Boophis  marojezensis	0.214296863	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		9	4	9 . 4"
